municipio,poblacion_2025,gyms_google,fitness_x10k,lat,lon,radius_m,gyms_sample_names,gyms_google_new,fitness_x10k_new,catchment_pop_25km,real_market_potential,dist_albacete_km,opportunity_score,catchment_gyms_25km,opportunity_score_v2,growth_5y,growth_10y,market_type,fitness_population,fitness_ratio
Povedilla,374,49,1310.1604278074865,38.7007435,-2.6034236,4000,,0.0,0.0,5035,5035.0,72.17433217262257,5035.0,2.0,1678.3333333333333,-0.07654320987654321,-0.2059447983014862,Oportunidad latente,12872.0,34.41711229946524
Pozo Cañada,2704,41,151.62721893491124,38.8029833,-1.7322065,6000,CLINICA DE FISIOTERAPIA Y PILATES,1.0,3.698224852071006,195301,97650.5,23.99287084392712,93716.6333737962,95.0,2034.3854166666667,-0.031171623074166967,-0.03806474564212024,Oportunidad latente,72716.0,26.892011834319526
Pozo-Lorente,398,53,1331.6582914572864,39.076351,-1.5069455,4000,,0.0,0.0,17759,17759.0,31.840628329683373,17759.0,15.0,1109.9375,-0.024509803921568627,-0.04096385542168675,Oportunidad latente,10956.0,27.527638190954775
Pozohondo,1544,42,272.020725388601,38.7199503,-1.9111451,6000,Pabellón Polideportivo Municipal de Pozohondo,1.0,6.476683937823834,17616,8808.0,30.834735778962735,8808.0,14.0,1174.4,-0.030759573132454487,-0.10075713453698311,Oportunidad latente,40940.0,26.515544041450777
Pozuelo,455,43,945.054945054945,38.8089093,-2.1014619,4000,,0.0,0.0,8356,8356.0,29.349201406658377,8356.0,8.0,928.4444444444443,-0.029850746268656716,-0.16051660516605165,Mercado débil,14376.0,31.595604395604397
Pétrola,660,55,833.3333333333333,38.8272179,-1.5559775,4000,Instalaciones deportivas municipales,1.0,15.151515151515152,17314,8657.0,32.22293250311725,8657.0,19.0,865.7,-0.030837004405286344,-0.1044776119402985,Mercado débil,18554.0,28.112121212121213
"Recueja, La",215,57,2651.162790697674,39.1607676,-1.4676394,4000,,0.0,0.0,19606,19606.0,38.6045613029486,19606.0,19.0,980.3,-0.06926406926406926,-0.21818181818181817,Mercado débil,5798.0,26.967441860465115
Riópar,1344,13,96.72619047619048,38.4982409,-2.4171658,6000,CHCB (Club Hípico El Caballo de Bronce); Centro Excursionista de Albacete; Mundo aventura Riópar; Polideportivo,3.0,22.32142857142857,9530,2382.5,73.32816779344564,2382.5,10.0,866.3636363636364,0.0022371364653243847,-0.0718232044198895,Mercado competitivo,37274.0,27.733630952380953
Robledo,382,45,1178.0104712041884,38.774234,-2.4406387,4000,,0.0,0.0,9655,9655.0,55.889492818130186,9655.0,5.0,1609.1666666666667,0.015957446808510637,-0.056790123456790124,Mercado emergente,10640.0,27.853403141361255
"Roda, La",15643,56,35.79875982867737,39.1755765,-2.1843285,10000,"CLUB PÁDEL LA RODA.; CRATOSFIT; Centro Deportivo; Centro deportivo David Castro Fajardo; Club Polideportivo la Roda; Club Polideportivo y Social la Molineta; Clínica Salud y fitness La Roda; Cratos Center La Roda, Fisioterapia & Pilates",16.0,10.228217093907816,23341,1373.0,34.47662366101758,1373.0,24.0,933.64,0.007470857216461647,-0.014179480715906226,Mercado competitivo,279470.695,17.865543374033113
