municipio,query,place_id,name,types,lat,lon,distance_m,formattedAddress
Peñas de San Pedro,crossfit en Peñas de San Pedro,ChIJ3zjziI9xZg0RsOhw1ASk8u4,Gimnasio Municipal,establishment;gym;health;point_of_interest;sports_activity_location,38.7251362,-1.9996197,132.76489847606828,
Pozo Cañada,gimnasio en Pozo Cañada,ChIJb2kXGIuFZg0RrGnFpTpWfeI,CLINICA DE FISIOTERAPIA Y PILATES,establishment;gym;health;point_of_interest;sports_activity_location,38.8046627,-1.7330811,201.5337207105474,
Pozo Cañada,fitness en Pozo Cañada,ChIJb2kXGIuFZg0RrGnFpTpWfeI,CLINICA DE FISIOTERAPIA Y PILATES,establishment;gym;health;point_of_interest;sports_activity_location,38.8046627,-1.7330811,201.5337207105474,
Pozo Cañada,centro deportivo en Pozo Cañada,ChIJb2kXGIuFZg0RrGnFpTpWfeI,CLINICA DE FISIOTERAPIA Y PILATES,establishment;gym;health;point_of_interest;sports_activity_location,38.8046627,-1.7330811,201.5337207105474,
Pozo Cañada,pilates en Pozo Cañada,ChIJb2kXGIuFZg0RrGnFpTpWfeI,CLINICA DE FISIOTERAPIA Y PILATES,establishment;gym;health;point_of_interest;sports_activity_location,38.8046627,-1.7330811,201.5337207105474,
Pozo Cañada,crossfit en Pozo Cañada,ChIJb2kXGIuFZg0RrGnFpTpWfeI,CLINICA DE FISIOTERAPIA Y PILATES,establishment;gym;health;point_of_interest;sports_activity_location,38.8046627,-1.7330811,201.5337207105474,
Pozohondo,gimnasio en Pozohondo,ChIJM1Cggfx5Zg0RjXSy5OmlFao,Pabellón Polideportivo Municipal de Pozohondo,establishment;point_of_interest;sports_activity_location;sports_complex,38.7191431,-1.9144082,296.98232082838774,
Pozohondo,centro deportivo en Pozohondo,ChIJM1Cggfx5Zg0RjXSy5OmlFao,Pabellón Polideportivo Municipal de Pozohondo,establishment;point_of_interest;sports_activity_location;sports_complex,38.7191431,-1.9144082,296.98232082838774,
Pétrola,gimnasio en Pétrola,ChIJfwkG87CXZg0R5rvvttGlRO4,Instalaciones deportivas municipales,establishment;gym;health;point_of_interest;sports_activity_location,38.8254857,-1.5490447999999999,630.6863107330003,
Riópar,gimnasio en Riópar,ChIJTZe9Ai75ZQ0RjZpHSjXSetY,Polideportivo,establishment;point_of_interest;sports_activity_location;sports_complex,38.4972181,-2.419664,245.3561490107725,
Riópar,gimnasio en Riópar,ChIJAQAAwKv5ZQ0RNEH9Y79rTBg,Centro Excursionista de Albacete,association_or_organization;establishment;point_of_interest;sports_club,38.4982409,-2.4171658,0.0,
Riópar,gimnasio en Riópar,ChIJJQ-OBG34ZQ0RaXl2Yv62dFg,Mundo aventura Riópar,adventure_sports_center;establishment;point_of_interest;sports_activity_location;sports_complex,38.5124012,-2.4576775,3860.8170139396143,
Riópar,fitness en Riópar,ChIJTZe9Ai75ZQ0RjZpHSjXSetY,Polideportivo,establishment;point_of_interest;sports_activity_location;sports_complex,38.4972181,-2.419664,245.3561490107725,
Riópar,fitness en Riópar,ChIJJQ-OBG34ZQ0RaXl2Yv62dFg,Mundo aventura Riópar,adventure_sports_center;establishment;point_of_interest;sports_activity_location;sports_complex,38.5124012,-2.4576775,3860.8170139396143,
Riópar,centro deportivo en Riópar,ChIJTZe9Ai75ZQ0RjZpHSjXSetY,Polideportivo,establishment;point_of_interest;sports_activity_location;sports_complex,38.4972181,-2.419664,245.3561490107725,
Riópar,centro deportivo en Riópar,ChIJJQ-OBG34ZQ0RaXl2Yv62dFg,Mundo aventura Riópar,adventure_sports_center;establishment;point_of_interest;sports_activity_location;sports_complex,38.5124012,-2.4576775,3860.8170139396143,
Riópar,centro deportivo en Riópar,ChIJAQAAwKv5ZQ0RNEH9Y79rTBg,Centro Excursionista de Albacete,association_or_organization;establishment;point_of_interest;sports_club,38.4982409,-2.4171658,0.0,
Riópar,centro deportivo en Riópar,ChIJKx8flwb5ZQ0RD0ttJ6t5yBA,CHCB (Club Hípico El Caballo de Bronce),association_or_organization;establishment;point_of_interest;service;sports_activity_location;sports_club;sports_coaching;sports_school,38.506512099999995,-2.4144929,948.6708241598485,
Riópar,entrenamiento personal en Riópar,ChIJKx8flwb5ZQ0RD0ttJ6t5yBA,CHCB (Club Hípico El Caballo de Bronce),association_or_organization;establishment;point_of_interest;service;sports_activity_location;sports_club;sports_coaching;sports_school,38.506512099999995,-2.4144929,948.6708241598485,
"Roda, La","gimnasio en Roda, La",ChIJaxlhGy03Zg0Rf4S88N9oND8,CRATOSFIT,establishment;gym;health;point_of_interest;sports_activity_location,39.2024247,-2.1612385,3587.8284794192837,
"Roda, La","gimnasio en Roda, La",ChIJg0yCaRE2Zg0RLgS9c1aQZwc,Gimnasio Multi Gym,establishment;gym;health;point_of_interest;sports_activity_location,39.203013899999995,-2.1595222,3725.389623175551,
"Roda, La","gimnasio en Roda, La",ChIJI0Z5Lg42Zg0R5QG6GA7bJMA,Gimnasio Esfera La Roda,association_or_organization;establishment;gym;health;point_of_interest;sports_activity_location;sports_club;sports_school,39.207096,-2.1577355,4187.603488404622,
"Roda, La","gimnasio en Roda, La",ChIJxTdZ-OU3Zg0RtnWmaKxCNUg,OLYM FITNESS,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,39.2033189,-2.1612690999999997,3669.5417614519215,
"Roda, La","gimnasio en Roda, La",ChIJ_UvKjbo3Zg0RNYiy85lsyZ8,"Cratos Center La Roda, Fisioterapia & Pilates",establishment;gym;health;medical_clinic;point_of_interest;sports_activity_location;sports_complex;sports_school,39.2051714,-2.1596360999999997,3918.91655460852,
"Roda, La","gimnasio en Roda, La",ChIJU2Y-ZJ83Zg0RsyiHmaQmlzU,Hangar 21 Box,establishment;fitness_center;gym;health;point_of_interest;sports_activity_location,39.1929167,-2.1463221999999997,3801.0735351907674,
"Roda, La","gimnasio en Roda, La",ChIJLwwmxxk2Zg0RfzM5XnhAXyo,Centro deportivo David Castro Fajardo,association_or_organization;establishment;point_of_interest;sports_club,39.2001865,-2.154045,3781.593094263908,
"Roda, La","gimnasio en Roda, La",ChIJ5dzZdBQ2Zg0R10mnO15VYLg,Jose Carlos Personal Trainer,establishment;health;point_of_interest;service,39.2018182,-2.1610279,3542.173853664227,
"Roda, La","gimnasio en Roda, La",ChIJqfngTic2Zg0RB2knGLiPN18,CLUB PÁDEL LA RODA.,association_or_organization;establishment;point_of_interest;sports_club,39.1913185,-2.1459951,3739.0078477909005,
"Roda, La","gimnasio en Roda, La",ChIJkypi_hM2Zg0R4oV6ZBqNzs4,Clínica Salud y fitness La Roda,doctor;establishment;health;medical_clinic;point_of_interest;service,39.202249599999995,-2.1599356000000003,3635.403902150453,
"Roda, La","gimnasio en Roda, La",ChIJm2JupwU2Zg0R_DsreiZLyzE,"Polideportivo ""Juan José Lozano Jareño""",establishment;point_of_interest;sports_activity_location;sports_complex,39.2102491,-2.1532248,4695.6550541499255,
"Roda, La","gimnasio en Roda, La",ChIJFc90Shc2Zg0R2IUJwrxln14,Club Polideportivo la Roda,establishment;point_of_interest;sports_activity_location;sports_complex,39.2063525,-2.1584393,4085.225524298121,
"Roda, La","fitness en Roda, La",ChIJaxlhGy03Zg0Rf4S88N9oND8,CRATOSFIT,establishment;gym;health;point_of_interest;sports_activity_location,39.2024247,-2.1612385,3587.8284794192837,
